unit_id,essay_file,sentence_id,sentence_text,sentence_with_boundry,error_span,n_annotators,annotators,gold_expression,gold_discourse,gold_meaning,expression_confidence,discourse_confidence,meaning_confidence,row_ambiguity,expr_votes_sum,disc_votes_sum,mean_votes_sum,label_signature
CHN_A2_0 - Smoking - WE_CHN_SMK0_024_A2_0.xlsx||3,CHN_A2_0 - Smoking - WE_CHN_SMK0_024_A2_0.xlsx,3,This phenomenon brings great damage especially smoking in the restaurants.,This phenomenon brings great damage especially /ERR/smoking in the restaurants/ERR/.,smoking in the restaurants,2,ST_12|ST_18,0,1,0,high,low,high,high,0,1,0,0_1_0
CHN_A2_0 - Smoking - WE_CHN_SMK0_024_A2_0.xlsx||4,CHN_A2_0 - Smoking - WE_CHN_SMK0_024_A2_0.xlsx,4,So someone think that smoking should be completely banned at all the restaurants.,So /ERR/someone think/ERR/ that smoking should be completely banned at all the restaurants.,someone think,2,ST_12|ST_18,1,1,0,low,low,high,high,1,1,0,1_1_0
CHN_A2_0 - Smoking - WE_CHN_SMK0_024_A2_0.xlsx||5,CHN_A2_0 - Smoking - WE_CHN_SMK0_024_A2_0.xlsx,5,And someone doesn't think so.,And /ERR/someone/ERR/ doesn't think so.,someone,2,ST_12|ST_18,0,1,0,high,low,high,high,0,1,0,0_1_0
CHN_A2_0 - Smoking - WE_CHN_SMK0_024_A2_0.xlsx||6,CHN_A2_0 - Smoking - WE_CHN_SMK0_024_A2_0.xlsx,6,I prefer to the former one because I have some reasons below.,I /ERR/prefer to the former one/ERR/ because I have some reasons below.,prefer to the former one,2,ST_12|ST_18,0,1,1,high,low,low,high,0,1,1,0_1_1
CHN_A2_0 - Smoking - WE_CHN_SMK0_024_A2_0.xlsx||7,CHN_A2_0 - Smoking - WE_CHN_SMK0_024_A2_0.xlsx,7,I prefer to the former one because I have some reasons below.,I prefer to the former one because I have /ERR/some reasons below/ERR/.,some reasons below,2,ST_12|ST_18,1,1,0,high,low,high,high,2,1,0,1_1_0
CHN_A2_0 - Smoking - WE_CHN_SMK0_024_A2_0.xlsx||8,CHN_A2_0 - Smoking - WE_CHN_SMK0_024_A2_0.xlsx,8,There are many reasons accounting for my idea.,There are many /ERR/reasons accounting for my idea/ERR/.,reasons accounting for my idea,2,ST_12|ST_18,1,0,0,low,high,high,high,1,0,0,1_0_0
CHN_A2_0 - Smoking - WE_CHN_SMK0_024_A2_0.xlsx||9,CHN_A2_0 - Smoking - WE_CHN_SMK0_024_A2_0.xlsx,9,"On the one hand, smoking in the restaurant will damage their health and also other people's health.","On the one hand, smoking in the restaurant will damage /ERR/their health/ERR/ and also other people's health.",their health,2,ST_12|ST_18,0,0,1,high,high,low,high,0,0,1,0_0_1
CHN_A2_0 - Smoking - WE_CHN_SMK0_024_A2_0.xlsx||11,CHN_A2_0 - Smoking - WE_CHN_SMK0_024_A2_0.xlsx,11,It is not fair for people not smoke to get diseases because they sit together with smokers in the restaurants.,It is not fair for /ERR/people not smoke/ERR/ to get diseases because they sit together with smokers in the restaurants.,people not smoke,2,ST_12|ST_18,1,1,0,low,low,high,high,1,1,0,1_1_0
CHN_A2_0 - Smoking - WE_CHN_SMK0_024_A2_0.xlsx||12,CHN_A2_0 - Smoking - WE_CHN_SMK0_024_A2_0.xlsx,12,So we must insist it.,So we must /ERR/insist it/ERR/.,insist it,2,ST_12|ST_18,1,1,0,low,low,high,high,1,1,0,1_1_0
CHN_A2_0 - Smoking - WE_CHN_SMK0_024_A2_0.xlsx||15,CHN_A2_0 - Smoking - WE_CHN_SMK0_024_A2_0.xlsx,15,The unclean environment will make people unhappy and make the bad effect of you in the restaurants.,The unclean environment will make people unhappy and /ERR/make the bad effect of you/ERR/ in the restaurants.,make the bad effect of you,2,ST_12|ST_18,1,1,0,low,low,high,high,1,1,0,1_1_0
CHN_A2_0 - Smoking - WE_CHN_SMK0_024_A2_0.xlsx||16,CHN_A2_0 - Smoking - WE_CHN_SMK0_024_A2_0.xlsx,16,So people will not like the restaurants if there are many smoking inside.,So people will not like the restaurants if there are many /ERR/smoking inside/ERR/.,smoking inside,2,ST_12|ST_18,1,0,1,low,high,low,high,1,0,1,1_0_1
CHN_A2_0 - Smoking - WE_CHN_SMK0_026_A2_0.xlsx||1,CHN_A2_0 - Smoking - WE_CHN_SMK0_026_A2_0.xlsx,1,I disagree the view that smoking should not be completely banned at all the restaurants in the country.,I disagree /ERR/the view/ERR/ that smoking should not be completely banned at all the restaurants in the country.,the view,2,ST_05|ST_09,1,1,0,high,low,high,high,2,1,0,1_1_0
CHN_A2_0 - Smoking - WE_CHN_SMK0_026_A2_0.xlsx||2,CHN_A2_0 - Smoking - WE_CHN_SMK0_026_A2_0.xlsx,2,My evidences are below.,My /ERR/evidences/ERR/ are below.,evidences,2,ST_05|ST_09,1,1,0,low,low,high,high,1,1,0,1_1_0
CHN_A2_0 - Smoking - WE_CHN_SMK0_026_A2_0.xlsx||3,CHN_A2_0 - Smoking - WE_CHN_SMK0_026_A2_0.xlsx,3,That smoking is completely banned at all the restaurants does not fit with the reality world.,That smoking is completely banned at all the restaurants does not fit with /ERR/the reality world/ERR/.,the reality world,2,ST_05|ST_09,1,1,0,high,low,high,high,2,1,0,1_1_0
CHN_A2_0 - Smoking - WE_CHN_SMK0_026_A2_0.xlsx||4,CHN_A2_0 - Smoking - WE_CHN_SMK0_026_A2_0.xlsx,4,"Because a lot of men smoke now, which smoking is completely banned at all the restaurants is impossible at the present.","Because a lot of men smoke now, /ERR/which smoking is completely banned at all the restaurants is impossible/ERR/ at the present.",which smoking is completely banned at all the restaurants is impossible,2,ST_05|ST_09,0,1,1,high,high,low,high,0,2,1,0_1_1
CHN_A2_0 - Smoking - WE_CHN_SMK0_026_A2_0.xlsx||5,CHN_A2_0 - Smoking - WE_CHN_SMK0_026_A2_0.xlsx,5,"Because a lot of men smoke now, which smoking is completely banned at all the restaurants is impossible at the present.","Because a lot of men smoke now, which smoking is completely banned at all the restaurants is impossible /ERR/at the present/ERR/.",at the present,2,ST_05|ST_09,0,1,1,high,low,low,high,0,1,1,0_1_1
CHN_A2_0 - Smoking - WE_CHN_SMK0_026_A2_0.xlsx||6,CHN_A2_0 - Smoking - WE_CHN_SMK0_026_A2_0.xlsx,6,"If smoking is banned in all the restaurants, many men maybe against that smoking is completely banned in the restaurants.","If smoking is banned in all the restaurants, many men /ERR/maybe against/ERR/ that smoking is completely banned in the restaurants.",maybe against,2,ST_05|ST_09,1,1,0,low,low,high,high,1,1,0,1_1_0
CHN_A2_0 - Smoking - WE_CHN_SMK0_026_A2_0.xlsx||7,CHN_A2_0 - Smoking - WE_CHN_SMK0_026_A2_0.xlsx,7,"If smoking is banned in all the restaurants, many men maybe against that smoking is completely banned in the restaurants.","If smoking is banned in all the restaurants, many men maybe against /ERR/that smoking is completely banned in the restaurants/ERR/.",that smoking is completely banned in the restaurants,2,ST_05|ST_09,1,0,0,low,high,high,high,1,0,0,1_0_0
CHN_A2_0 - Smoking - WE_CHN_SMK0_026_A2_0.xlsx||9,CHN_A2_0 - Smoking - WE_CHN_SMK0_026_A2_0.xlsx,9,And those smokers will not go to restaurants will bring trouble to the restaurants.,And those smokers /ERR/will not go to restaurants will bring trouble/ERR/ to the restaurants.,will not go to restaurants will bring trouble,2,ST_05|ST_09,0,1,1,high,low,low,high,0,1,1,0_1_1
CHN_A2_0 - Smoking - WE_CHN_SMK0_026_A2_0.xlsx||10,CHN_A2_0 - Smoking - WE_CHN_SMK0_026_A2_0.xlsx,10,They will have business problem.,They will have /ERR/business problem/ERR/.,business problem,2,ST_05|ST_09,1,0,0,low,high,high,high,1,0,0,1_0_0
CHN_A2_0 - Smoking - WE_CHN_SMK0_026_A2_0.xlsx||11,CHN_A2_0 - Smoking - WE_CHN_SMK0_026_A2_0.xlsx,11,"If smoking is completely banned at all the restaurants, it is harm for the interests of the restaurants.","If smoking is completely banned at all the restaurants, it is /ERR/harm for/ERR/ the interests of the restaurants.",harm for,2,ST_05|ST_09,0,1,1,high,low,low,high,0,1,1,0_1_1
CHN_A2_0 - Smoking - WE_CHN_SMK0_026_A2_0.xlsx||12,CHN_A2_0 - Smoking - WE_CHN_SMK0_026_A2_0.xlsx,12,"If smoking is completely banned at all the restaurants, it is harm for the interests of the restaurants.","If smoking is completely banned at all the restaurants, it is harm for /ERR/the interests of the restaurants/ERR/.",the interests of the restaurants,2,ST_05|ST_09,0,1,0,high,low,high,high,0,1,0,0_1_0
CHN_A2_0 - Smoking - WE_CHN_SMK0_026_A2_0.xlsx||13,CHN_A2_0 - Smoking - WE_CHN_SMK0_026_A2_0.xlsx,13,All the restaurants will give way to men's attitudes.,All the restaurants will /ERR/give way to men's attitudes/ERR/.,give way to men's attitudes,2,ST_05|ST_09,1,0,1,low,high,low,high,1,0,1,1_0_1
CHN_A2_0 - Smoking - WE_CHN_SMK0_026_A2_0.xlsx||14,CHN_A2_0 - Smoking - WE_CHN_SMK0_026_A2_0.xlsx,14,"Although smoking is not good for health of people's, men don't want to give up smoking.","Although smoking is not good for /ERR/health of people's/ERR/, men don't want to give up smoking.",health of people's,2,ST_05|ST_09,1,1,0,low,low,high,high,1,1,0,1_1_0
CHN_A2_0 - Smoking - WE_CHN_SMK0_026_A2_0.xlsx||15,CHN_A2_0 - Smoking - WE_CHN_SMK0_026_A2_0.xlsx,15,They say that smoking help them many ways.,They say that smoking /ERR/help them many ways/ERR/.,help them many ways,2,ST_05|ST_09,1,0,0,low,high,high,high,1,0,0,1_0_0
CHN_A2_0 - Smoking - WE_CHN_SMK0_026_A2_0.xlsx||16,CHN_A2_0 - Smoking - WE_CHN_SMK0_026_A2_0.xlsx,16,Some say that they fell happier by smoking and forget troubles by smoking.,Some say that they /ERR/fell happier/ERR/ by smoking and forget troubles by smoking.,fell happier,2,ST_05|ST_09,1,1,1,low,low,low,high,1,1,1,1_1_1
CHN_A2_0 - Smoking - WE_CHN_SMK0_026_A2_0.xlsx||17,CHN_A2_0 - Smoking - WE_CHN_SMK0_026_A2_0.xlsx,17,Some say that they fell happier by smoking and forget troubles by smoking.,Some say that they fell happier by smoking and /ERR/forget troubles/ERR/ by smoking.,forget troubles,2,ST_05|ST_09,1,0,0,high,high,high,low,2,0,0,1_0_0
CHN_A2_0 - Smoking - WE_CHN_SMK0_026_A2_0.xlsx||18,CHN_A2_0 - Smoking - WE_CHN_SMK0_026_A2_0.xlsx,18,"All the restaurants will allow men to smoking, for all the restaurants want to get more interests.","All the restaurants will allow men to /ERR/smoking/ERR/, for all the restaurants want to get more interests.",smoking,2,ST_05|ST_09,0,0,1,high,high,low,high,0,0,1,0_0_1
CHN_A2_0 - Smoking - WE_CHN_SMK0_026_A2_0.xlsx||19,CHN_A2_0 - Smoking - WE_CHN_SMK0_026_A2_0.xlsx,19,"All the restaurants will allow men to smoking, for all the restaurants want to get more interests.","All the restaurants will allow men to smoking, for all the restaurants want to /ERR/get more interests/ERR/.",get more interests,2,ST_05|ST_09,1,0,1,low,high,low,high,1,0,1,1_0_1
CHN_A2_0 - Smoking - WE_CHN_SMK0_026_A2_0.xlsx||20,CHN_A2_0 - Smoking - WE_CHN_SMK0_026_A2_0.xlsx,20,I think maybe we can do other something to solve smoking problem in the restaurants but not completely ban smoking in the restaurants in the country right now.,I think maybe we can do /ERR/other something/ERR/ to solve smoking problem in the restaurants but not completely ban smoking in the restaurants in the country right now.,other something,2,ST_05|ST_09,0,1,1,high,low,low,high,0,1,1,0_1_1
CHN_A2_0 - Smoking - WE_CHN_SMK0_026_A2_0.xlsx||21,CHN_A2_0 - Smoking - WE_CHN_SMK0_026_A2_0.xlsx,21,I think maybe we can do other something to solve smoking problem in the restaurants but not completely ban smoking in the restaurants in the country right now.,I think maybe we can do other something to solve /ERR/smoking problem/ERR/ in the restaurants but not completely ban smoking in the restaurants in the country right now.,smoking problem,2,ST_05|ST_09,0,0,1,high,high,low,high,0,0,1,0_0_1
CHN_A2_0 - Smoking - WE_CHN_SMK0_038_A2_0.xlsx||2,CHN_A2_0 - Smoking - WE_CHN_SMK0_038_A2_0.xlsx,2,"Generally speaking, I don't agree with the idea of topic B, which smoking should be completely banned at all the restaurants in the country.","Generally speaking, I don't agree with the idea of topic B, which /ERR/smoking should be completely banned/ERR/ at all the restaurants in the country.",smoking should be completely banned,2,ST_01|ST_04,0,1,0,high,low,high,high,0,1,0,0_1_0
CHN_A2_0 - Smoking - WE_CHN_SMK0_038_A2_0.xlsx||4,CHN_A2_0 - Smoking - WE_CHN_SMK0_038_A2_0.xlsx,4,"Now, I like to talk about my opinions: To begin with, it is a right for people to smoking in the restaurant.","Now, I like to talk about my opinions: To begin with, it is /ERR/a right for people to smoking/ERR/ in the restaurant.",a right for people to smoking,2,ST_01|ST_04,1,1,0,high,low,high,high,2,1,0,1_1_0
CHN_A2_0 - Smoking - WE_CHN_SMK0_038_A2_0.xlsx||5,CHN_A2_0 - Smoking - WE_CHN_SMK0_038_A2_0.xlsx,5,"Restaurants are public place for all customers, so everyone has no qualification to limit it.","Restaurants are /ERR/public place/ERR/ for all customers, so everyone has no qualification to limit it.",public place,2,ST_01|ST_04,1,1,0,low,low,high,high,1,1,0,1_1_0
CHN_A2_0 - Smoking - WE_CHN_SMK0_038_A2_0.xlsx||6,CHN_A2_0 - Smoking - WE_CHN_SMK0_038_A2_0.xlsx,6,"Restaurants are public place for all customers, so everyone has no qualification to limit it.","Restaurants are public place for all customers, so everyone has /ERR/no qualification/ERR/ to limit it.",no qualification,2,ST_01|ST_04,1,1,0,low,low,high,high,1,1,0,1_1_0
CHN_A2_0 - Smoking - WE_CHN_SMK0_038_A2_0.xlsx||7,CHN_A2_0 - Smoking - WE_CHN_SMK0_038_A2_0.xlsx,7,"What's more, people should observe the law, and cannot do the thing what they want to do.","What's more, people should observe the law, and cannot /ERR/do the thing what they want to do/ERR/.",do the thing what they want to do,2,ST_01|ST_04,1,1,1,high,high,low,high,2,2,1,1_1_1
CHN_A2_0 - Smoking - WE_CHN_SMK0_038_A2_0.xlsx||8,CHN_A2_0 - Smoking - WE_CHN_SMK0_038_A2_0.xlsx,8,"In the next place, we can build a smoking room, for those people who are already addicted to smoke.","/ERR/In the next place/ERR/, we can build a smoking room, for those people who are already addicted to smoke.",In the next place,2,ST_01|ST_04,1,1,0,low,low,high,high,1,1,0,1_1_0
CHN_A2_0 - Smoking - WE_CHN_SMK0_038_A2_0.xlsx||9,CHN_A2_0 - Smoking - WE_CHN_SMK0_038_A2_0.xlsx,9,"In the next place, we can build a smoking room, for those people who are already addicted to smoke.","In the next place, we can build /ERR/a smoking room/ERR/, for those people who are already addicted to smoke.",a smoking room,2,ST_01|ST_04,1,0,0,low,high,high,high,1,0,0,1_0_0
CHN_A2_0 - Smoking - WE_CHN_SMK0_038_A2_0.xlsx||10,CHN_A2_0 - Smoking - WE_CHN_SMK0_038_A2_0.xlsx,10,"In this way, protect smokers' personal right.","In this way, /ERR/protect smokers' personal right/ERR/.",protect smokers' personal right,2,ST_01|ST_04,0,1,0,high,high,high,low,0,2,0,0_1_0
CHN_A2_0 - Smoking - WE_CHN_SMK0_038_A2_0.xlsx||12,CHN_A2_0 - Smoking - WE_CHN_SMK0_038_A2_0.xlsx,12,"Then, the quantity of cigarette sold will be decrease, thus it will affect the economy of society immediately.","Then, the /ERR/quantity of cigarette sold/ERR/ will be decrease, thus it will affect the economy of society immediately.",quantity of cigarette sold,2,ST_01|ST_04,1,1,0,high,low,high,high,2,1,0,1_1_0
CHN_A2_0 - Smoking - WE_CHN_SMK0_038_A2_0.xlsx||13,CHN_A2_0 - Smoking - WE_CHN_SMK0_038_A2_0.xlsx,13,"Then, the quantity of cigarette sold will be decrease, thus it will affect the economy of society immediately.","Then, the quantity of cigarette sold will /ERR/be decrease/ERR/, thus it will affect the economy of society immediately.",be decrease,2,ST_01|ST_04,1,1,0,low,low,high,high,1,1,0,1_1_0
CHN_A2_0 - Smoking - WE_CHN_SMK0_038_A2_0.xlsx||14,CHN_A2_0 - Smoking - WE_CHN_SMK0_038_A2_0.xlsx,14,"Then, the quantity of cigarette sold will be decrease, thus it will affect the economy of society immediately.","Then, the quantity of cigarette sold will be decrease, thus it will affect /ERR/the economy of society/ERR/ immediately.",the economy of society,2,ST_01|ST_04,1,1,0,high,low,high,high,2,1,0,1_1_0
